Sensor Latitude,Sensor Longitude,Precision Time Stamp
53.93224416,13.0590562,1745587094000
53.93224416,13.0590562,1745587200000
53.93224445,13.05905528,1745587302000
53.93224453,13.059055,1745587405000
53.93224463,13.05905475,1745587508000
53.93224464,13.05905457,1745587613000
53.93224453,13.0590546,1745587716000
53.93224441,13.05905463,1745587819000
53.93224434,13.05905424,1745587920000
53.93224411,13.05905361,1745588022000
53.93224411,13.05905361,1745588123000
53.93224424,13.05905292,1745588225000
53.93224424,13.05905292,1745588327000
53.93224424,13.05905292,1745588429000
53.93224424,13.05905292,1745588530000
53.93224424,13.05905292,1745588631000
53.93224424,13.05905292,1745588732000
53.93224424,13.05905292,1745588834000
53.93224424,13.05905292,1745588936000
53.93224424,13.05905292,1745589038000
53.93224394,13.0590517,1745589140000
53.93224394,13.0590517,1745589242000
53.93224394,13.0590517,1745589343000
53.93224394,13.0590517,1745589444000
53.93224394,13.0590517,1745589546000
53.93224394,13.0590517,1745589647000
53.93224334,13.05905057,1745589748000
53.93224334,13.05905057,1745589850000
53.93224334,13.05905057,1745589951000
53.93224334,13.05905057,1745590052000
53.93224334,13.05905057,1745590153000
53.93224334,13.05905057,1745590255000
53.93224334,13.05905057,1745590356000
53.93224334,13.05905057,1745590457000
53.93224334,13.05905057,1745590558000
53.93224243,13.0590513,1745590659000
53.93224243,13.0590513,1745590760000
53.93224243,13.0590513,1745590861000
53.93224243,13.0590513,1745590962000
53.93224243,13.0590513,1745591063000
53.93224243,13.0590513,1745591164000
53.93224243,13.0590513,1745591264000
53.93224243,13.0590513,1745591365000
53.93224243,13.0590513,1745591467000
53.93224268,13.0590496,1745591568000
53.93224268,13.0590496,1745591681000
53.93224268,13.0590496,1745591788000
53.93224353,13.05904858,1745591889000
53.93224353,13.05904858,1745591991000
53.93224353,13.05904858,1745592092000
53.93224353,13.05904858,1745592193000
53.93224353,13.05904858,1745592294000
53.93224353,13.05904858,1745592395000
53.93224353,13.05904858,1745592496000
53.93224353,13.05904858,1745592599000
53.93224353,13.05904858,1745592700000
53.93224439,13.05904802,1745592800000
53.93224439,13.05904802,1745592901000
53.93224439,13.05904802,1745593003000
53.93224439,13.05904802,1745593105000
53.93224439,13.05904802,1745593206000
53.93224439,13.05904802,1745593308000
53.93224439,13.05904802,1745593410000
53.93224439,13.05904802,1745593511000
53.93224439,13.05904802,1745593613000
53.93224526,13.05904745,1745593715000
53.93224526,13.05904745,1745593816000
53.93224526,13.05904745,1745593917000
53.93224526,13.05904745,1745594018000
53.93224526,13.05904745,1745594120000
53.93224506,13.05904736,1745594221000
53.93224506,13.05904736,1745594322000
53.93224506,13.05904736,1745594427000
53.93224506,13.05904736,1745594530000
53.93224506,13.05904736,1745594632000
53.93224506,13.05904736,1745594733000
53.93224506,13.05904736,1745594834000
53.93224506,13.05904736,1745594935000
53.93224506,13.05904736,1745595036000
53.93224506,13.05904736,1745595138000
53.93224506,13.05904736,1745595239000
53.93224506,13.05904736,1745595341000
53.93224506,13.05904736,1745595443000
53.93224506,13.05904736,1745595544000
53.93224506,13.05904736,1745595645000
53.93224506,13.05904736,1745595747000
53.9322446,13.05904638,1745595847000
53.9322446,13.05904638,1745595949000
53.9322446,13.05904638,1745596051000
53.9322446,13.05904638,1745596152000
53.9322446,13.05904638,1745596253000
53.9322446,13.05904638,1745596354000
53.9322446,13.05904638,1745596456000
53.9322446,13.05904638,1745596559000
53.9322446,13.05904638,1745596660000
53.9322446,13.05904638,1745596761000
53.9322446,13.05904638,1745596862000
53.9322446,13.05904638,1745596963000
53.9322446,13.05904638,1745597064000
53.9322446,13.05904638,1745597164000
53.9322446,13.05904638,1745597265000
53.9322446,13.05904638,1745597366000
53.9322446,13.05904638,1745597467000
53.9322454,13.05904567,1745597568000
53.9322454,13.05904567,1745597668000
53.93224556,13.05904532,1745597769000
53.93224556,13.05904532,1745597871000
53.93224556,13.05904532,1745597972000
53.93224556,13.05904532,1745598072000
53.93224556,13.05904532,1745598173000
53.93224563,13.05904488,1745598274000
53.93224563,13.05904488,1745598376000
53.93224565,13.0590447,1745598477000
53.93224557,13.05904457,1745598578000
53.93224561,13.05904446,1745598679000
53.93224565,13.05904438,1745598780000
53.93224556,13.05904442,1745598881000
53.93224533,13.05904454,1745598983000
53.93224533,13.05904452,1745599084000
53.93224534,13.05904439,1745599185000
53.93224532,13.05904409,1745599286000
53.9322453,13.05904358,1745599387000
53.93224543,13.05904286,1745599488000
53.9322456,13.05904182,1745599591000
53.93224582,13.05904048,1745599693000
53.93224607,13.05903877,1745599794000
53.93224678,13.05903656,1745599898000
53.93224709,13.05903403,1745600000000
53.93224737,13.05903111,1745600101000
53.9322477,13.05902767,1745600202000
53.93224771,13.05902402,1745600304000
53.93224795,13.05902008,1745600406000
53.9322483,13.05901598,1745600507000
53.93224871,13.05901142,1745600610000
53.93224946,13.05900726,1745600712000
53.93225004,13.05900252,1745600814000
53.93225065,13.05899781,1745600916000
53.93225125,13.05899309,1745601017000
53.93225229,13.05898961,1745601120000
53.93225282,13.05898613,1745601222000
53.9322531,13.0589833,1745601323000
53.93225335,13.05898066,1745601424000
53.93225361,13.05897858,1745601526000
53.93225374,13.05897713,1745601630000
53.93225385,13.05897508,1745601732000
53.93225396,13.05897286,1745601834000
53.93225403,13.05897077,1745601937000
53.93225341,13.05896957,1745602041000
53.93225339,13.05896726,1745602143000
53.93225338,13.05896475,1745602245000
53.93225334,13.0589622,1745602347000
53.93225307,13.05895935,1745602448000
53.93225326,13.05895625,1745602553000
53.93225345,13.05895298,1745602656000
53.93225357,13.05895013,1745602759000
53.93225372,13.05894668,1745602860000
53.93225391,13.05894409,1745602961000
53.93225407,13.05894143,1745603063000
53.93225412,13.05893874,1745603164000
53.93225442,13.05893221,1745603267000
53.93225447,13.05892927,1745603368000
53.93225447,13.05892927,1745603471000
53.9322544,13.05892663,1745603574000
53.93225397,13.05892125,1745603675000
53.93225374,13.05891864,1745603776000
53.93225342,13.05891626,1745603878000
53.93225302,13.05891382,1745603980000
53.93225209,13.0589124,1745604082000
53.93225136,13.05891039,1745604183000
53.93225136,13.05891039,1745604284000
53.93224967,13.0589067,1745604386000
53.93224877,13.05890534,1745604487000
53.93224762,13.05890365,1745604591000
53.93224645,13.0589021,1745604691000
53.93224504,13.05890061,1745604794000
53.93224353,13.05889916,1745604895000
53.93224213,13.05889724,1745604997000
53.93224026,13.05889589,1745605100000
53.93223818,13.05889455,1745605201000
53.93223607,13.05889333,1745605303000
53.93223382,13.05889133,1745605407000
53.93223154,13.05889014,1745605511000
53.93222907,13.05888894,1745605613000
53.93222679,13.0588875,1745605714000
53.93222451,13.05888502,1745605816000
53.93222224,13.05888368,1745605917000
53.93222008,13.05888235,1745606019000
53.93221829,13.05888124,1745606121000
53.93221677,13.05887975,1745606223000
53.9322157,13.05887882,1745606326000
53.93221484,13.05887797,1745606428000
53.93221426,13.05887746,1745606530000
53.93221375,13.05887704,1745606632000
53.93221388,13.05887725,1745606735000
53.93221388,13.05887725,1745606838000
53.93221283,13.05887706,1745606941000
53.93221283,13.05887706,1745607045000
53.93221136,13.05887802,1745607147000
53.93221062,13.05887815,1745607249000
53.93221062,13.05887815,1745607350000
53.93220887,13.05887823,1745607452000
53.93220795,13.05887769,1745607556000
53.93220714,13.05887746,1745607659000
53.93220625,13.05887736,1745607760000
53.93220523,13.0588773,1745607862000
53.93220401,13.0588772,1745607964000
53.93220126,13.0588771,1745608066000
53.93220126,13.0588771,1745608167000
53.93219807,13.05887709,1745608268000
53.93219621,13.05887721,1745608369000
53.93219452,13.05887726,1745608470000
53.93219271,13.05887731,1745608572000
53.93219102,13.05887717,1745608674000
53.93218923,13.05887659,1745608776000
53.93218751,13.05887668,1745608878000
53.93218571,13.05887684,1745608980000
53.93218401,13.05887705,1745609082000
53.9321821,13.05887743,1745609184000
53.93218035,13.05887792,1745609288000
53.93217849,13.05887846,1745609389000
53.93217669,13.05887897,1745609492000
53.93217473,13.05888015,1745609593000
53.93217299,13.05888062,1745609695000
53.9321712,13.05888112,1745609796000
53.93216946,13.05888168,1745609900000
53.93216765,13.05888228,1745610001000
53.93216578,13.05888303,1745610102000
53.93216396,13.05888351,1745610204000
53.93216233,13.05888382,1745610306000
53.93216062,13.05888408,1745610408000
53.93215938,13.05888345,1745610510000
53.93215771,13.05888343,1745610612000
53.93215611,13.0588832,1745610713000
53.9321544,13.05888295,1745610816000
53.93215267,13.05888298,1745610918000
53.93215081,13.05888311,1745611020000
53.93214909,13.05888326,1745611122000
53.9321473,13.05888332,1745611223000
53.93214496,13.0588842,1745611325000
53.93214296,13.05888418,1745611428000
53.93214117,13.05888419,1745611531000
53.93214117,13.05888419,1745611632000
53.93213831,13.05888412,1745611734000
53.93213738,13.05888438,1745611837000
53.93213688,13.05888394,1745611939000
53.93213642,13.05888334,1745612040000
53.93213574,13.05888294,1745612141000
53.93213519,13.05888224,1745612244000
53.9321344,13.05888177,1745612346000
53.9321344,13.05888177,1745612450000
53.93213287,13.05887997,1745612552000
53.93213188,13.05887865,1745612653000
53.93213121,13.0588772,1745612755000
53.93213055,13.05887554,1745612857000
53.93212998,13.05887406,1745612958000
53.93212908,13.0588725,1745613061000
53.93212819,13.05886886,1745613162000
53.93212789,13.0588668,1745613263000
53.93212763,13.05886444,1745613364000
53.93212783,13.05886194,1745613466000
53.93212784,13.05885904,1745613568000
53.93212773,13.05885613,1745613670000
53.93212761,13.05885295,1745613771000
53.93212728,13.05885,1745613872000
53.93212714,13.05884676,1745613974000
53.93212703,13.05884341,1745614076000
53.93212694,13.0588398,1745614178000
53.93212689,13.05883619,1745614279000
53.93212684,13.05883253,1745614381000
53.93212678,13.05882904,1745614482000
53.93212676,13.05882533,1745614582000
53.93212683,13.05882191,1745614684000
53.93212694,13.05881807,1745614786000
53.93212718,13.05881447,1745614887000
53.93212744,13.05881066,1745614988000
53.93212765,13.05880691,1745615088000
53.93212813,13.05880296,1745615190000
53.93212827,13.05879915,1745615290000
53.93212841,13.05879512,1745615394000
53.93212857,13.05879118,1745615496000
53.93212864,13.05878679,1745615597000
53.93212877,13.05878282,1745615700000
53.93212893,13.05877861,1745615801000
53.93212922,13.05877451,1745615903000
53.93212959,13.05877007,1745616005000
53.93212991,13.05876581,1745616107000
53.93213025,13.0587613,1745616211000
53.93213055,13.05875708,1745616312000
53.93213094,13.05875233,1745616414000
53.9321312,13.05874849,1745616519000
53.93213147,13.05874493,1745616621000
53.93213174,13.05874215,1745616723000
53.93213203,13.05873975,1745616825000
53.93213244,13.05873825,1745616926000
53.93213274,13.05873686,1745617027000
53.93213291,13.05873586,1745617129000
53.93213307,13.05873497,1745617230000
53.93213314,13.05873464,1745617332000
53.93213334,13.05873388,1745617433000
53.93213341,13.058733,1745617544000
53.93213344,13.05873194,1745617646000
53.93213294,13.05873031,1745617749000
53.93213275,13.05872871,1745617850000
53.93213244,13.05872684,1745617953000
53.93213201,13.05872469,1745618054000
53.93213112,13.0587215,1745618156000
53.93213037,13.05871892,1745618264000
53.93212854,13.05871366,1745618365000
53.93212854,13.05871366,1745618466000
53.93212748,13.05871093,1745618567000
53.93212621,13.0587075,1745618673000
53.93212368,13.05870222,1745618774000
53.93212237,13.05869972,1745618875000
53.93212099,13.05869718,1745618979000
53.93211936,13.05869454,1745619080000
53.93211756,13.05869186,1745619181000
53.9321159,13.0586896,1745619283000
53.93211404,13.05868716,1745619385000
53.93211224,13.05868513,1745619487000
53.93211025,13.05868313,1745619588000
53.9321081,13.05868144,1745619689000
53.93210562,13.05867996,1745619790000
53.93210343,13.05867854,1745619893000
53.93210107,13.0586772,1745619995000
53.93209872,13.05867613,1745620096000
53.93209619,13.05867518,1745620198000
53.93209338,13.05867452,1745620299000
53.93209066,13.05867394,1745620404000
53.93208789,13.05867357,1745620507000
53.93208495,13.05867333,1745620608000
53.93208209,13.05867337,1745620709000
53.93207924,13.05867348,1745620811000
53.93207634,13.05867381,1745620913000
53.93207327,13.05867429,1745621016000
53.93207013,13.05867512,1745621118000
53.93206708,13.05867569,1745621219000
53.93206421,13.05867628,1745621320000
53.93206116,13.05867688,1745621426000
53.93205854,13.05867719,1745621528000
53.93205549,13.0586776,1745621631000
53.9320526,13.05867798,1745621732000
53.93204964,13.05867836,1745621834000
53.9320469,13.05867866,1745621935000
53.93204409,13.05867864,1745622036000
53.93204127,13.05867875,1745622138000
53.93203829,13.05867877,1745622240000
53.93203553,13.05867882,1745622342000
53.93203258,13.05867897,1745622444000
53.93202978,13.05867877,1745622546000
53.93202685,13.05867842,1745622647000
53.93202417,13.05867791,1745622748000
53.93202142,13.05867714,1745622849000
53.93201867,13.05867613,1745622950000
53.93201583,13.05867486,1745623051000
53.93201331,13.05867346,1745623153000
53.93201065,13.0586715,1745623254000
53.93200824,13.05866962,1745623355000
53.93200579,13.05866744,1745623456000
53.93200357,13.05866514,1745623557000
53.93200135,13.05866256,1745623660000
53.93199976,13.05865967,1745623762000
53.93199793,13.05865679,1745623863000
53.93199456,13.0586507,1745623966000
53.93199334,13.0586478,1745624068000
53.93199204,13.05864446,1745624169000
53.93199204,13.05864446,1745624271000
53.93199095,13.05864103,1745624373000
53.93198926,13.05863392,1745624474000
53.9319886,13.05863032,1745624575000
53.9319886,13.05863032,1745624680000
53.93198818,13.05862697,1745624792000
53.93198813,13.05862072,1745624893000
53.9319883,13.05861733,1745624994000
53.93198858,13.05861407,1745625095000
53.93198903,13.05861069,1745625197000
53.93198967,13.05860762,1745625299000
53.93199057,13.05860457,1745625401000
53.93199142,13.05860186,1745625503000
53.93199242,13.05859917,1745625605000
53.93199355,13.05859688,1745625706000
53.93199496,13.05859507,1745625808000
53.93199629,13.05859323,1745625908000
53.93199778,13.0585915,1745626010000
53.93199923,13.05859009,1745626111000
53.93200079,13.05858923,1745626213000
53.93200235,13.05858823,1745626315000
53.93200407,13.05858742,1745626415000
53.93200574,13.05858699,1745626517000
53.93200734,13.05858716,1745626618000
53.9320092,13.05858724,1745626719000
53.93201123,13.05858754,1745626820000
53.93201327,13.05858795,1745626923000
53.93201545,13.05858855,1745627024000
53.93201757,13.05858929,1745627126000
53.93201977,13.05859017,1745627227000
53.93202193,13.0585913,1745627328000
53.93202428,13.05859267,1745627429000
53.93202654,13.05859427,1745627530000
53.93202891,13.05859587,1745627632000
53.93203118,13.05859739,1745627735000
